Country,GDP,Btu
Canada,0.08,403700000.0
Iran,0.01,145540000.0
American Samoa,0.0,88796000.0
Antigua and Barbuda,0.0,107154000.0
Bahrain,0.0,547976000.0
Cayman Islands,0.0,175578000.0
Cyprus,0.0,133920000.0
Grenada,0.0,39799000.0
Guam,0.0,152767000.0
Hong Kong,0.0,172009000.0
Iraq,0.0,63174000.0
Israel,0.0,113273000.0
Kuwait,0.0,381985000.0
Lebanon,0.0,53528000.0
Macau,0.0,81407000.0
Maldives,0.0,59690000.0
Malta,0.0,267739000.0
Mauritius,0.0,79448000.0
Oman,0.0,292022000.0
Puerto Rico,0.0,94379000.0
Qatar,0.0,723582000.0
Saint Kitts and Nevis,0.0,71960000.0
Saudi Arabia,0.0,296949000.0
Singapore,0.0,639951000.0
Turkmenistan,0.0,330507000.0
Turks and Caicos Islands,0.0,0.0
United Arab Emirates,0.0,471788000.0
