Country,MetricTonsCO2
China,10773248000.0
United States,5144361000.0
India,2314738000.0
Russia,1848070000.0
Japan,1103234000.0
Germany,726881000.0
"Korea, South",686954000.0
Iran,646038000.0
Canada,612084000.0
Saudi Arabia,579925000.0
Indonesia,563543000.0
South Africa,470358000.0
Mexico,463739000.0
Brazil,456670000.0
Australia,417870000.0
United Kingdom,398084000.0
Turkey (Turkiye),391792000.0
France,338425000.0
Italy,332041000.0
Thailand,305273000.0
Poland,304040000.0
Spain,280624000.0
Taiwan,279206000.0
United Arab Emirates,276236000.0
Kazakhstan,263689000.0
Malaysia,254764000.0
Vietnam,249929000.0
Singapore,238983000.0
Egypt,235137000.0
Netherlands,214416000.0
Pakistan,193869000.0
Argentina,193205000.0
Ukraine,185686000.0
Algeria,151633000.0
Iraq,143479000.0
Philippines,142282000.0
Belgium,128247000.0
Qatar,111922000.0
Turkmenistan,109037000.0
Nigeria,104494000.0
Venezuela,103708000.0
Uzbekistan,102965000.0
Czechia,99533000.0
Bangladesh,96180000.0
Kuwait,92582000.0
Hong Kong,92493000.0
Chile,88333000.0
Colombia,81007000.0
Oman,76321000.0
Greece,70163000.0
Romania,68746000.0
Austria,65540000.0
Israel,61092000.0
Morocco,60200000.0
Peru,54996000.0
Belarus,54695000.0
Portugal,50370000.0
Hungary,48589000.0
Sweden,48144000.0
Serbia,47735000.0
Bahrain,43112000.0
Finland,41996000.0
Laos,40726000.0
New Zealand,40344000.0
Trinidad and Tobago,39652000.0
Switzerland,38739000.0
Bulgaria,38373000.0
Libya,38297000.0
Norway,36731000.0
Ecuador,36051000.0
Ireland,35475000.0
Azerbaijan,35389000.0
Denmark,33850000.0
Slovakia,32506000.0
Burma,31848000.0
Syria,26893000.0
Dominican Republic,26808000.0
Lebanon,25838000.0
Panama,25263000.0
Sri Lanka,23939000.0
Tunisia,23692000.0
Jordan,23470000.0
Mongolia,22740000.0
Angola,19362000.0
Guatemala,19041000.0
Puerto Rico,18999000.0
"Korea, North",18465000.0
Ghana,18093000.0
Bolivia,17786000.0
Kenya,17709000.0
Sudan,17319000.0
Ethiopia,16798000.0
Croatia,16752000.0
Cuba,16478000.0
Bosnia and Herzegovina,16209000.0
Lithuania,14503000.0
Gibraltar,14256000.0
Cambodia,13844000.0
Slovenia,13553000.0
Cote d'Ivoire,11880000.0
Tanzania,11491000.0
Luxembourg,11308000.0
Senegal,10696000.0
Georgia,10299000.0
Yemen,10158000.0
Jamaica,10002000.0
Brunei,9956000.0
Malta,9576000.0
Honduras,8523000.0
Latvia,8450000.0
Costa Rica,8115000.0
Moldova,8114000.0
Cyprus,8024000.0
Kosovo,8009000.0
Zimbabwe,7902000.0
Paraguay,7896000.0
Afghanistan,7893000.0
Kyrgyzstan,7880000.0
Mozambique,7753000.0
Nepal,7708000.0
Tajikistan,7643000.0
El Salvador,7632000.0
North Macedonia,7383000.0
Mauritius,7191000.0
Cameroon,7105000.0
Benin,6903000.0
Zambia,6798000.0
Papua New Guinea,6491000.0
Uruguay,6450000.0
Armenia,6354000.0
Botswana,5965000.0
New Caledonia,5886000.0
Uganda,5841000.0
Mali,5679000.0
Estonia,4924000.0
Nicaragua,4851000.0
Equatorial Guinea,4528000.0
"Congo, Republic of the",4523000.0
Burkina Faso,4444000.0
Madagascar,4218000.0
Mauritania,4041000.0
"Bahamas, The",3984000.0
Namibia,3831000.0
Albania,3794000.0
Gaza Strip,3341000.0
West Bank,3341000.0
Iceland,3337000.0
Haiti,3139000.0
Guinea,2981000.0
Guyana,2743000.0
"Congo, Democratic Republic of the",2653000.0
Gabon,2651000.0
Montenegro,2447000.0
Virgin Islands,2438000.0
Niger,2374000.0
Suriname,2372000.0
Maldives,2286000.0
Togo,2244000.0
Macau,2012000.0
Guam,1828000.0
South Sudan,1778000.0
Chad,1771000.0
Barbados,1703000.0
Fiji,1691000.0
Malawi,1542000.0
Liberia,1346000.0
Wake Island,1275000.0
Aruba,1254000.0
Eswatini,1224000.0
Rwanda,1189000.0
Seychelles,1156000.0
French Polynesia,1030000.0
Cabo Verde,1002000.0
Bhutan,934000.0
Sierra Leone,899000.0
Somalia,882000.0
Faroe Islands,870000.0
Cayman Islands,808000.0
Eritrea,798000.0
Bermuda,796000.0
Lesotho,736000.0
Antigua and Barbuda,729000.0
Burundi,715000.0
Saint Lucia,659000.0
Djibouti,610000.0
"Gambia, The",606000.0
Greenland,605000.0
Belize,541000.0
Timor-Leste,538000.0
Jersey,450000.0
American Samoa,355000.0
Samoa,355000.0
Guinea-Bissau,342000.0
Solomon Islands,333000.0
Comoros,326000.0
Grenada,316000.0
Marshall Islands,293700.0
Central African Republic,285000.0
Saint Kitts and Nevis,268000.0
Turks and Caicos Islands,245000.0
Vanuatu,225000.0
Saint Vincent and the Grenadines,202000.0
Dominica,182000.0
"Micronesia, Federated States of",177000.0
British Virgin Islands,173000.0
Sao Tome and Principe,173000.0
Tonga,171000.0
Cook Islands,114000.0
Saint Pierre and Miquelon,84000.0
Kiribati,76000.0
Nauru,66000.0
Falkland Islands (Islas Malvinas),46000.0
Montserrat,33000.0
Antarctica,28000.0
"Saint Helena, Ascension, and Tristan da Cunha",13000.0
Niue,8000.0
Northern Mariana Islands,0.0
Tuvalu,0.0
