Country,Coal Revenue,Forest Revenue,Energy Consumption,Metric Tons of CO2,Barrels per Day of Petroleum
Mongolia,8.62,0.14,83045000.0,22740000.0,0
Mozambique,4.17,6.46,8107000.0,7753000.0,0
India,1.15,0.14,23231000.0,2314738000.0,4897000
Indonesia,1.06,0.39,29680000.0,563543000.0,950000
Kazakhstan,0.99,0.0,180726000.0,263689000.0,290700
Australia,0.78,0.13,241004000.0,417870000.0,462500
Colombia,0.75,0.1,34703000.0,81007000.0,303600
China,0.57,0.08,105687000.0,10773248000.0,11510000
Tajikistan,0.54,1.12,27651000.0,7643000.0,172
Russia,0.53,0.29,227898000.0,1848070000.0,6076000
Afghanistan,0.45,0.2,3227000.0,7893000.0,0
Botswana,0.45,0.23,34095000.0,5965000.0,0
Ukraine,0.42,0.34,82571000.0,185686000.0,63670
Zimbabwe,0.4,1.61,11516000.0,7902000.0,0
Vietnam,0.35,1.49,36392000.0,249929000.0,153800
Bosnia and Herzegovina,0.34,0.49,71815000.0,16209000.0,0
Kosovo,0.31,0.0,51462000.0,8009000.0,0
Poland,0.27,0.17,112831000.0,304040000.0,554200
Serbia,0.25,0.38,98195000.0,47735000.0,74350
Kyrgyzstan,0.21,0.01,35059000.0,7880000.0,6996
United States,0.2,0.04,304414000.0,5144361000.0,20300000
Bulgaria,0.14,0.22,103924000.0,38373000.0,144300
Czechia,0.14,0.17,161972000.0,99533000.0,177500
Montenegro,0.12,0.43,77286000.0,2447000.0,0
Eswatini,0.1,2.25,19371000.0,1224000.0,0
Canada,0.08,0.08,403700000.0,612084000.0,2009000
Philippines,0.07,0.18,19261000.0,142282000.0,215500
Pakistan,0.06,0.1,15859000.0,193869000.0,291200
Uzbekistan,0.06,0.0,57709000.0,102965000.0,61740
Turkey (Turkiye),0.05,0.08,79126000.0,391792000.0,657900
Greece,0.04,0.01,108022000.0,70163000.0,655400
Zambia,0.04,4.45,11595000.0,6798000.0,13120
Albania,0.03,0.18,38442000.0,3794000.0,5638
Malawi,0.03,6.19,1809000.0,1542000.0,0
Mexico,0.03,0.1,61597000.0,463739000.0,844600
New Zealand,0.03,0.5,186804000.0,40344000.0,115100
Niger,0.03,4.41,1540000.0,2374000.0,15280
Romania,0.03,0.16,71736000.0,68746000.0,232600
Slovenia,0.03,0.2,134836000.0,13553000.0,0
Thailand,0.03,0.34,76714000.0,305273000.0,1328000
Bangladesh,0.02,0.08,9917000.0,96180000.0,26280
Germany,0.02,0.03,161174000.0,726881000.0,2158000
Malaysia,0.02,1.57,123755000.0,254764000.0,528300
