Country,Btu
Qatar,723582000.0
Singapore,639951000.0
Bahrain,547976000.0
United Arab Emirates,471788000.0
Brunei,415184000.0
Canada,403700000.0
Kuwait,381985000.0
Norway,333833000.0
Turkmenistan,330507000.0
Luxembourg,310068000.0
United States,304414000.0
Saudi Arabia,296949000.0
Oman,292022000.0
Malta,267739000.0
"Korea, South",242346000.0
Australia,241004000.0
Belgium,234216000.0
Russia,227898000.0
Netherlands,219606000.0
Finland,216571000.0
Sweden,210882000.0
New Zealand,186804000.0
Kazakhstan,180726000.0
Bermuda,176312000.0
Cayman Islands,175578000.0
Aruba,174629000.0
Hong Kong,172009000.0
Austria,171299000.0
Seychelles,163060000.0
Czechia,161972000.0
Germany,161174000.0
Taiwan,160669000.0
Guam,152767000.0
France,151053000.0
Japan,147107000.0
Iran,145540000.0
"Bahamas, The",140505000.0
Switzerland,137918000.0
Slovenia,134836000.0
Cyprus,133920000.0
Ireland,133674000.0
Slovakia,129665000.0
Denmark,124163000.0
Malaysia,123755000.0
Spain,122673000.0
United Kingdom,119894000.0
Israel,113273000.0
Poland,112831000.0
Italy,112606000.0
Hungary,108212000.0
Greece,108022000.0
Antigua and Barbuda,107154000.0
Libya,107118000.0
China,105687000.0
Bulgaria,103924000.0
Belarus,102558000.0
Portugal,101734000.0
Lithuania,101651000.0
Bhutan,100135000.0
Panama,98946000.0
South Africa,98474000.0
Serbia,98195000.0
Puerto Rico,94379000.0
Croatia,89733000.0
American Samoa,88796000.0
Latvia,86645000.0
Venezuela,85829000.0
Barbados,83723000.0
Mongolia,83045000.0
Ukraine,82571000.0
Suriname,82356000.0
Chile,81953000.0
Macau,81407000.0
British Virgin Islands,80136000.0
Mauritius,79448000.0
Turkey (Turkiye),79126000.0
Argentina,79083000.0
Montenegro,77286000.0
Thailand,76714000.0
Estonia,76329000.0
Laos,73187000.0
Saint Kitts and Nevis,71960000.0
Bosnia and Herzegovina,71815000.0
Romania,71736000.0
Uruguay,66909000.0
Azerbaijan,64416000.0
Georgia,63286000.0
Iraq,63174000.0
Paraguay,62775000.0
Mexico,61597000.0
Algeria,61433000.0
Maldives,59690000.0
Brazil,59444000.0
Uzbekistan,57709000.0
Equatorial Guinea,57596000.0
North Macedonia,53572000.0
Lebanon,53528000.0
Armenia,53019000.0
Kosovo,51462000.0
Saint Lucia,50872000.0
Jamaica,49700000.0
Guyana,48608000.0
Costa Rica,44899000.0
Ecuador,42564000.0
Moldova,40398000.0
Egypt,40063000.0
Grenada,39799000.0
Jordan,39331000.0
Dominican Republic,39016000.0
Albania,38442000.0
Dominica,37513000.0
Peru,36465000.0
Vietnam,36392000.0
Tunisia,35620000.0
Kyrgyzstan,35059000.0
Colombia,34703000.0
Botswana,34095000.0
Fiji,32901000.0
Cuba,32785000.0
Belize,31552000.0
Namibia,29811000.0
Indonesia,29680000.0
Saint Vincent and the Grenadines,27821000.0
Tajikistan,27651000.0
Samoa,27111000.0
Bolivia,27094000.0
Gabon,26786000.0
Cabo Verde,26539000.0
Morocco,24590000.0
Syria,24567000.0
El Salvador,24124000.0
India,23231000.0
Tonga,22841000.0
Honduras,19800000.0
Guatemala,19411000.0
Eswatini,19371000.0
Philippines,19261000.0
Sri Lanka,17268000.0
"Congo, Republic of the",16156000.0
Pakistan,15859000.0
Nicaragua,14916000.0
Cambodia,13629000.0
Gaza Strip,13604000.0
West Bank,13604000.0
Mauritania,13558000.0
"Korea, North",12610000.0
Angola,11693000.0
Sao Tome and Principe,11636000.0
Zambia,11595000.0
Zimbabwe,11516000.0
Papua New Guinea,11316000.0
Ghana,11239000.0
Vanuatu,10878000.0
Burma,10679000.0
Bangladesh,9917000.0
Kiribati,9335000.0
Senegal,9221000.0
Djibouti,8869000.0
Benin,8468000.0
Nigeria,8466000.0
Cote d'Ivoire,8225000.0
Mozambique,8107000.0
Sudan,8047000.0
Lesotho,7823000.0
Solomon Islands,6955000.0
Kenya,6310000.0
Cameroon,6187000.0
Timor-Leste,5740000.0
Yemen,5453000.0
Comoros,5346000.0
Nepal,5219000.0
Mali,4396000.0
Guinea,4133000.0
Togo,4113000.0
Haiti,3970000.0
Liberia,3790000.0
"Gambia, The",3547000.0
Tanzania,3334000.0
Burkina Faso,3230000.0
Afghanistan,3227000.0
Ethiopia,3219000.0
Eritrea,3217000.0
Uganda,2943000.0
Guinea-Bissau,2460000.0
South Sudan,2404000.0
Madagascar,2307000.0
Malawi,1809000.0
Sierra Leone,1803000.0
Rwanda,1704000.0
Chad,1575000.0
Niger,1540000.0
"Congo, Democratic Republic of the",1371000.0
Central African Republic,1121000.0
Burundi,1087000.0
Somalia,802000.0
Antarctica,0.0
Cook Islands,0.0
Falkland Islands (Islas Malvinas),0.0
Faroe Islands,0.0
French Polynesia,0.0
Gibraltar,0.0
"Micronesia, Federated States of",0.0
Montserrat,0.0
Nauru,0.0
New Caledonia,0.0
Niue,0.0
Northern Mariana Islands,0.0
"Saint Helena, Ascension, and Tristan da Cunha",0.0
Saint Pierre and Miquelon,0.0
Turks and Caicos Islands,0.0
Tuvalu,0.0
Wake Island,0.0
